number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,4,2,2,5,5,0.6086666666666667,0.08309776227575624,0.3369864304860433,0.09776305026964738,1.9333333333333333,0.5936168397046637,2.0,0.0,3.8666666666666667,1.1872336794093274
32,2,4,1,1,10,0.7686666666666667,0.04473998956936251,1.203821563720703,0.31254338195049225,1.8,0.5606119105813882,3.466666666666667,1.0600988273786194,6.133333333333334,2.1668498091095505
32,1,2,5,2,10,0.8096666666666665,0.02175075258687011,0.3239592552185059,0.17893099160795486,0.8666666666666667,0.3518657752744984,1.6,0.7367883976130073,1.6,0.7367883976130073
32,3,3,5,2,20,0.7680000000000002,0.04258604734618405,2.3776516278584796,0.9090822399484859,2.066666666666667,0.7037315505489967,2.1333333333333333,0.6399404734221844,3.933333333333333,1.8695555876298773
32,3,2,1,1,5,0.735,0.05784832384286144,0.3997436841328939,0.06537678804911665,1.7333333333333334,0.7037315505489967,1.8666666666666667,0.5163977794943223,3.4,1.4040757000349273
16,4,2,1,10,20,0.6926666666666667,0.06425025477066407,1.3373369852701822,0.21253925532285747,2.066666666666667,0.2581988897471611,2.0,0.0,4.133333333333334,0.5163977794943222
32,1,3,10,5,5,0.7956666666666667,0.061028876849601364,0.19062383969624838,0.0553938544125493,0.6666666666666666,0.48795003647426666,1.2,1.082325538564332,1.2,1.082325538564332
8,2,2,10,2,5,0.25566666666666665,0.2342073765663568,0.3302809238433838,0.13789302061748918,1.7333333333333334,0.7037315505489967,0.8666666666666667,0.35186577527449836,1.7333333333333334,0.7037315505489967
16,2,3,1,5,5,0.7263333333333333,0.0622054966182556,0.3994278907775879,0.05452976153073237,1.8666666666666667,0.35186577527449836,3.0,0.0,5.533333333333333,1.0600988273786194
16,1,3,5,10,5,0.7576666666666665,0.06452758730813918,0.15651543935139975,0.037483878265106775,1.0,0.0,2.933333333333333,0.2581988897471611,2.933333333333333,0.2581988897471611
8,1,2,5,1,10,0.7153333333333334,0.12484943312799203,0.25130221048990886,0.08232120072156297,1.0,0.0,1.0,0.0,1.0,0.0
32,1,1,1,10,20,0.7843333333333333,0.04057033868422079,0.8044912497202555,0.19055505001304468,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,5,10,0.7446666666666667,0.12756604265279706,0.5950966040293376,0.11309421003112627,1.0,0.0,1.1333333333333333,0.35186577527449836,1.1333333333333333,0.35186577527449836
8,4,4,5,1,5,0.16699999999999998,0.002535462764185552,1.1738709926605224,0.33452658463671403,2.0,0.0,1.0,0.0,2.0,0.0
16,1,2,2,2,10,0.7786666666666665,0.035328391388446186,0.15263522466023763,0.039426081047122134,0.9333333333333333,0.25819888974716115,1.8666666666666667,0.5163977794943223,1.8666666666666667,0.5163977794943223
8,1,4,1,2,5,0.7499999999999999,0.053083492187846346,0.18503801027933756,0.03261576905588225,1.0,0.0,4.0,0.0,4.0,0.0
16,3,2,10,10,10,0.7483333333333332,0.041561772729046965,0.3665512402852376,0.12007718349706187,1.7333333333333334,0.7037315505489967,1.8666666666666667,0.5163977794943223,3.466666666666667,1.4074631010979934
16,4,3,1,5,10,0.699,0.08510917358646732,1.1299401760101317,0.5444422610443402,2.1333333333333333,1.1872336794093272,3.0,0.0,6.333333333333333,3.4572215654165053
8,4,4,2,10,10,0.6683333333333332,0.09607784542209707,1.2292500654856364,0.5164252687204962,2.4,1.549193338482967,3.8666666666666667,0.5163977794943223,9.066666666666666,5.993647430722758
8,2,1,1,10,10,0.16699999999999998,0.002535462764185552,0.176898988087972,0.023654071569214084,2.0,0.0,1.0,0.0,2.0,0.0
16,2,3,2,5,10,0.716,0.07324616030891994,0.8422288417816162,0.16179423737820905,1.8666666666666667,0.35186577527449836,3.0,0.0,5.4,1.0555973258234952
8,4,4,2,2,15,0.6623333333333334,0.10312729073934841,0.6900474071502686,0.2847113554414694,2.466666666666667,1.1254628677422756,3.4,0.5070925528371101,7.2,3.5496478698597698
16,1,4,1,1,15,0.7863333333333333,0.04315531198335788,0.3724883874257406,0.09109883015493413,0.9333333333333333,0.25819888974716115,3.2666666666666666,1.0327955589886446,3.2666666666666666,1.0327955589886446
16,2,3,10,2,20,0.6739999999999999,0.1467894507692663,1.3530110200246175,0.1843307479571092,2.0,0.0,1.9333333333333333,0.25819888974716115,2.933333333333333,0.2581988897471611
16,4,3,5,1,5,0.6716666666666667,0.1478496662475902,0.3750640392303467,0.08058102060231907,1.8,0.41403933560541256,1.7333333333333334,0.4577377082170635,2.533333333333333,0.833809387832792
16,4,4,10,1,20,0.16699999999999998,0.002535462764185552,3.509838310877482,1.5303765218256118,2.0,0.0,1.0,0.0,2.0,0.0
