number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_std_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
8,4,3,2,2,10,0.8131742182198707,0.12233651644212967,1.514211654663086,0.14651863976994967,4.0,0.0,2.8,0.4140393356054125,8.4,0.828078671210825
32,1,2,2,2,10,0.9508160046659754,0.006971386949699845,0.15493931770324706,0.010435493257925706,1.0,0.0,2.0,0.0,2.0,0.0
32,1,2,1,2,20,0.9341639964572388,0.03843524327266786,0.40016350746154783,0.04971869149236717,1.0,0.0,2.0,0.0,2.0,0.0
8,1,4,2,5,15,0.8316373317175539,0.11132525579997052,0.8940476417541504,0.10132290700053181,1.0,0.0,3.8,0.4140393356054125,3.8,0.4140393356054125
32,3,4,1,1,5,0.9629482100451398,0.0256130986953212,0.6376077651977539,0.1441300849797903,3.0,0.0,2.7333333333333334,0.7988086367179803,6.8,2.042407542932745
4,2,4,1,2,10,0.6868380443916844,0.13147632199859036,1.8276428858439127,0.3610181657708891,2.0,0.0,4.0,0.0,7.866666666666666,0.3518657752744984
16,1,1,10,5,20,0.856661200015045,0.05897497215967603,0.16719829241434733,0.030127594973318194,1.0,0.0,1.0,0.0,1.0,0.0
8,4,3,5,1,15,0.6922046372250636,0.14752458596616658,7.060382588704427,2.802572810905739,4.0,0.0,1.0,0.0,4.0,0.0
8,1,4,5,5,20,0.9328205191618764,0.03681721938866453,0.5095719337463379,0.08834338717953669,1.0,0.0,3.2666666666666666,0.7988086367179803,3.2666666666666666,0.7988086367179803
8,1,1,10,1,20,0.6935146757183289,0.15900543942183032,0.15178483327229816,0.016106913954252827,1.0,0.0,1.0,0.0,1.0,0.0
8,1,2,10,2,20,0.704470649336196,0.1549145106639831,0.6526514848073324,0.3273232819888449,1.0,0.0,1.0,0.0,1.0,0.0
32,4,3,1,5,20,0.9429055897414494,0.05037389594762391,0.8064643859863281,0.11945425632103565,4.0,0.0,3.0,0.0,11.266666666666667,1.486446705914413
32,4,2,5,2,20,0.9491719903403595,0.029619694681431514,0.7674806435902913,0.25318918412838354,4.0,0.0,1.2666666666666666,0.4577377082170635,4.333333333333333,0.6172133998483676
8,3,3,10,5,20,0.6807740284070096,0.1697024319041335,4.315868473052978,1.5171651704471474,3.0,0.0,1.0,0.0,3.0,0.0
4,4,4,10,2,10,0.5806561424606321,0.1155816285439641,12.320614417394003,2.4056566186024066,4.0,0.0,1.0,0.0,4.0,0.0
8,4,2,2,5,5,0.8009164498812122,0.15778257536207801,1.4697264035542805,0.23141779571240517,4.0,0.0,2.0,0.0,8.0,0.0
32,2,4,1,1,10,0.9695742452182257,0.014596114685786903,0.554051399230957,0.1281539378416845,2.0,0.0,3.7333333333333334,0.45773770821706344,6.266666666666667,0.7037315505489967
32,1,2,5,2,10,0.8920142060809158,0.025209480176295304,0.35441439946492515,0.1150188255657524,1.0,0.0,1.1333333333333333,0.3518657752744984,1.1333333333333333,0.3518657752744984
32,3,3,5,2,20,0.9652350840529889,0.023618235108352807,0.9910614808400472,0.318947963387539,3.0,0.0,1.6,0.6324555320336759,3.6,0.6324555320336759
4,1,1,5,2,15,0.5402596479187823,0.21512743452050717,0.245541508992513,0.027350004744116956,1.0,0.0,1.0,0.0,1.0,0.0
32,3,2,1,1,5,0.985107934167294,0.015590705331197366,0.2894737243652344,0.06322911922034923,3.0,0.0,2.0,0.0,5.133333333333334,0.9154754164341271
16,4,2,1,10,20,0.9068951428207818,0.07476889293481478,0.9596979141235351,0.25233298914298097,4.0,0.0,2.0,0.0,7.933333333333334,0.2581988897471611
32,1,3,10,5,5,0.9352820065754391,0.030870407978021458,0.30829230944315594,0.15171775789858277,1.0,0.0,2.0,0.6546536707079771,2.0,0.6546536707079771
8,2,2,10,2,5,0.7520787445146712,0.13851846443374347,1.4359333356221518,0.5114839651280733,2.0,0.0,1.0,0.0,2.0,0.0
16,2,3,1,5,5,0.8959483919233701,0.08246088482845564,0.8695788542429607,0.16086895261750075,2.0,0.0,3.0,0.0,6.0,0.0
16,1,3,5,10,5,0.9285380854559759,0.03648337617814083,0.47138214111328125,0.06965461436634848,1.0,0.0,2.933333333333333,0.2581988897471611,2.933333333333333,0.2581988897471611
8,1,2,5,1,10,0.704470649336196,0.1549145106639831,0.6365373452504476,0.26973176462849907,1.0,0.0,1.0,0.0,1.0,0.0
32,1,1,1,10,20,0.8362734232625864,0.06262796862904597,0.38832009633382164,0.04733621341630428,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,5,10,0.7749726280992076,0.0998271425600649,0.7717386881510416,0.2810405758245219,1.0,0.0,1.8,0.41403933560541256,1.8,0.41403933560541256
8,4,4,5,1,5,0.6885941740229455,0.1530518768428889,10.789224545160929,4.181680724353511,4.0,0.0,1.0,0.0,4.0,0.0
4,3,4,10,10,15,0.5714549588609991,0.11813349512633485,6.162553294499715,1.4628934236058464,3.0,0.0,1.1333333333333333,0.35186577527449836,3.2666666666666666,0.7988086367179803
16,1,2,2,2,10,0.9484106779523913,0.010534304337274964,0.18329526583353678,0.029085646630610678,1.0,0.0,2.0,0.0,2.0,0.0
8,1,4,1,2,5,0.9204529540785806,0.05657477525533352,0.7689087708791097,0.08806688312503907,1.0,0.0,3.933333333333333,0.2581988897471611,3.933333333333333,0.2581988897471611
16,3,2,10,10,10,0.9353910304664068,0.06531848970170681,0.418064022064209,0.09018711125236716,3.0,0.0,1.9333333333333333,0.25819888974716115,5.6,0.828078671210825
4,2,2,2,5,20,0.6281601600116236,0.11532008452324076,1.5894380251566569,0.18545364261674763,2.0,0.0,2.0,0.0,4.0,0.0
16,4,3,1,5,10,0.8797604565813385,0.081409526823406,1.194915803273519,0.2470446293403881,4.0,0.0,3.0,0.0,11.8,0.41403933560541245
4,3,3,10,5,15,0.5980124264565329,0.09658510761349087,5.803332265218099,1.3994458944264225,3.0,0.0,1.0,0.0,3.0,0.0
4,4,3,2,5,10,0.6455660612131022,0.15426042499533152,2.135279575983683,0.22002091447989783,4.0,0.0,3.0,0.0,11.533333333333333,0.833809387832792
8,4,4,2,10,10,0.7701467236929627,0.14627167958235593,1.4780446688334148,0.2198461903677252,4.0,0.0,4.0,0.0,15.666666666666666,0.7237468644557459
8,2,1,1,10,10,0.8038031098601187,0.10682543933338916,0.8398298422495524,0.10820207522972403,2.0,0.0,1.0,0.0,2.0,0.0
16,2,3,2,5,10,0.9131908603355526,0.07118490932422072,0.9331726710001628,0.1392985556350438,2.0,0.0,3.0,0.0,5.8,0.4140393356054125
8,4,4,2,2,15,0.8425967574151446,0.12590142164860949,1.977576780319214,0.27869737207317735,4.0,0.0,3.0,0.7559289460184544,9.2,1.4735767952260144
4,2,3,5,10,15,0.7026536188357835,0.12963432717158857,1.4962725321451822,0.29236965264109055,2.0,0.0,3.0,0.0,5.866666666666666,0.3518657752744984
