number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
32,4,1,10,1,15,0.826851851851852,0.14094379323426756,0.0013919512430826822,1.4666666666666666,0.6399404734221844,1.0,0.0,1.4666666666666666,0.6399404734221844
8,2,3,1,5,5,0.7935185185185186,0.1691992327538499,0.0038373152414957683,1.2,0.41403933560541256,1.6,0.7367883976130073,1.8,0.9411239481143203
32,2,1,10,1,5,0.8601851851851853,0.12416682942119701,0.0005453268686930339,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
8,3,1,1,2,15,0.8046296296296297,0.13623118556353767,0.0016007741292317708,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
16,1,3,2,5,10,0.8518518518518519,0.11816249436046189,0.0031785170237223306,1.0,0.0,1.8,0.7745966692414835,1.8,0.7745966692414835
16,2,3,2,2,10,0.8601851851851853,0.09338614970692426,0.003996706008911133,1.3333333333333333,0.48795003647426666,1.0666666666666667,0.25819888974716115,1.4,0.5070925528371101
32,3,4,2,1,20,0.861111111111111,0.1472671390001072,0.008712355295817058,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
16,2,4,2,2,15,0.8675925925925926,0.13757980955666582,0.0063329378763834635,1.4666666666666666,0.5163977794943222,1.0666666666666667,0.25819888974716115,1.5333333333333334,0.6399404734221844
32,1,3,10,5,20,0.8212962962962963,0.13787993311327215,0.002946790059407552,1.0,0.0,1.0,0.0,1.0,0.0
32,4,3,10,10,15,0.8685185185185186,0.12038054495053056,0.005404122670491536,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,1,1,10,2,15,0.7564814814814814,0.21413011203350796,0.0009481112162272135,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.8231481481481482,0.11767172274062043,0.0012958526611328125,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.8194444444444445,0.0924271007845406,0.008112955093383788,1.4666666666666666,0.6399404734221844,1.5333333333333334,0.6399404734221844,2.0,1.0
16,1,1,2,5,20,0.8527777777777779,0.08558466831001597,0.0013157208760579428,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.8685185185185186,0.10013585715567126,0.0011112689971923828,1.2666666666666666,0.45773770821706344,1.0,0.0,1.2666666666666666,0.45773770821706344
4,3,2,5,10,15,0.7324074074074074,0.18637350215233586,0.00621339480082194,1.6666666666666667,0.816496580927726,1.5333333333333334,0.5163977794943222,2.2666666666666666,1.3345232785352157
32,2,4,5,2,15,0.8287037037037037,0.14459190682030107,0.006751124064127604,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,3,4,5,5,20,0.8212962962962963,0.10883920689293942,0.011103312174479166,1.4666666666666666,0.5163977794943222,1.2,0.41403933560541256,1.6666666666666667,0.816496580927726
8,3,3,1,5,10,0.8111111111111111,0.1422025345996366,0.004754114151000977,1.4666666666666666,0.5163977794943222,1.3333333333333333,0.6172133998483676,1.8,0.9411239481143203
32,3,3,2,10,15,0.8935185185185186,0.10402326990607337,0.009362729390462239,1.2666666666666666,0.4577377082170635,2.066666666666667,0.7037315505489967,2.3333333333333335,0.723746864455746
16,1,4,5,2,20,0.7722222222222223,0.12162552758132489,0.005471118291219075,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,10,20,0.7814814814814816,0.10346545288747862,0.005548461278279623,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
16,2,1,5,2,5,0.8212962962962963,0.19891866703860117,0.00128477414449056,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
8,2,2,10,1,10,0.7657407407407407,0.16263871662613608,0.0038914203643798826,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
4,2,2,10,2,20,0.5287037037037037,0.2552613616037632,0.004547548294067383,1.4,0.6324555320336759,0.9333333333333333,0.25819888974716115,1.4,0.6324555320336759
32,4,1,1,2,20,0.9101851851851852,0.08734817179434395,0.002077976862589518,1.7333333333333334,0.5936168397046637,1.0,0.0,1.7333333333333334,0.5936168397046637
8,2,2,10,2,10,0.7657407407407407,0.16263871662613608,0.0032721360524495444,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,2,3,2,5,20,0.7805555555555556,0.15609670610825946,0.009552542368570964,1.3333333333333333,0.48795003647426666,1.0666666666666667,0.25819888974716115,1.4,0.6324555320336759
4,1,2,5,2,15,0.712037037037037,0.28988812738061126,0.0019043922424316407,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,5,15,0.8685185185185186,0.10013585715567126,0.002143081029256185,1.2666666666666666,0.45773770821706344,1.0,0.0,1.2666666666666666,0.45773770821706344
8,4,3,2,2,10,0.8027777777777778,0.125132205219395,0.007875537872314453,1.5333333333333334,0.5163977794943222,1.2,0.41403933560541256,1.7333333333333334,0.7988086367179803
32,1,2,2,2,10,0.812962962962963,0.12985147305999073,0.0015451590220133464,1.0,0.0,1.0,0.0,1.0,0.0
32,1,2,1,2,20,0.8453703703703703,0.12476462259920543,0.0038629372914632163,1.0,0.0,1.6,0.5070925528371101,1.6,0.5070925528371101
8,4,1,2,1,20,0.8148148148148148,0.20731674369510855,0.0021367549896240236,1.4666666666666666,0.6399404734221844,1.0,0.0,1.4666666666666666,0.6399404734221844
8,1,4,2,5,15,0.7805555555555556,0.14107407963039353,0.004378525416056315,1.0,0.0,1.2666666666666666,0.5936168397046636,1.2666666666666666,0.5936168397046636
32,3,4,1,1,5,0.8935185185185186,0.07972800616888696,0.005086056391398112,1.2666666666666666,0.5936168397046636,1.2666666666666666,0.5936168397046636,1.5333333333333334,0.7432233529572065
4,2,4,1,2,10,0.712037037037037,0.22975013905596986,0.010590616861979167,1.6,0.50709255283711,2.4,0.5070925528371101,3.2666666666666666,0.9611501047232549
16,1,1,10,5,20,0.8138888888888889,0.1098389473559403,0.0007954597473144531,1.0,0.0,1.0,0.0,1.0,0.0
8,4,3,5,1,15,0.6814814814814815,0.14021850337600408,0.007628059387207032,1.4666666666666666,0.6399404734221845,1.0,0.0,1.4666666666666666,0.6399404734221845
8,1,4,5,5,20,0.7814814814814816,0.10346545288747862,0.004381545384724935,1.0,0.0,1.2,0.41403933560541256,1.2,0.41403933560541256
8,1,1,10,1,20,0.7805555555555554,0.22616784904924622,0.0003379344940185547,1.0,0.0,1.0,0.0,1.0,0.0
8,1,2,10,2,20,0.7342592592592593,0.20384494862650104,0.002331701914469401,1.0,0.0,1.0,0.0,1.0,0.0
8,4,1,1,1,10,0.8138888888888889,0.11956896425663259,0.001980018615722656,1.4666666666666666,0.6399404734221844,1.0,0.0,1.4666666666666666,0.6399404734221844
32,4,3,1,5,20,0.9009259259259259,0.10756579272633196,0.009602769215901693,1.3333333333333333,0.48795003647426666,2.0,0.7559289460184544,2.3333333333333335,0.816496580927726
32,4,2,5,2,20,0.8518518518518519,0.15850264779870546,0.004987351099650065,1.5333333333333334,0.6399404734221844,1.0,0.0,1.5333333333333334,0.6399404734221844
8,3,3,10,5,20,0.7666666666666667,0.18110417262003659,0.008728710810343425,1.0666666666666667,0.25819888974716115,1.0,0.0,1.0666666666666667,0.25819888974716115
4,4,4,10,2,10,0.48240740740740745,0.2545045387781353,0.012166643142700195,1.4,0.6324555320336759,1.0,0.0,1.4,0.6324555320336759
4,3,1,2,10,15,0.7796296296296297,0.1403560078369289,0.0030357996622721356,1.4666666666666666,0.7432233529572067,1.0,0.0,1.4666666666666666,0.7432233529572067
8,4,2,2,5,5,0.8592592592592593,0.13268554056451337,0.003532218933105469,1.2,0.41403933560541256,1.6666666666666667,0.48795003647426666,1.8666666666666667,0.7432233529572065
32,2,4,1,1,10,0.8694444444444444,0.1275964897539539,0.005044921239217123,1.6,0.5070925528371101,1.0,0.0,1.6,0.5070925528371101
32,1,2,5,2,10,0.7962962962962963,0.11978387847545255,0.0017371495564778646,1.0,0.0,1.0,0.0,1.0,0.0
32,3,3,5,2,20,0.8685185185185186,0.14556065462210344,0.008152071634928386,1.5333333333333334,0.5163977794943222,1.0666666666666667,0.2581988897471611,1.6,0.6324555320336759
8,4,1,2,5,20,0.8287037037037037,0.11156488029916475,0.0035313924153645834,1.2,0.41403933560541256,1.0,0.0,1.2,0.41403933560541256
4,1,1,5,2,15,0.7388888888888888,0.27212502313953946,0.0008301575978597005,1.0,0.0,1.0,0.0,1.0,0.0
32,3,2,1,1,5,0.8935185185185186,0.0642215860168777,0.0034938812255859374,1.1333333333333333,0.35186577527449836,1.0666666666666667,0.25819888974716115,1.2,0.41403933560541256
16,4,2,1,10,20,0.9018518518518519,0.08406862556057945,0.005528004964192709,1.3333333333333333,0.6172133998483676,1.5333333333333334,0.5163977794943222,1.8666666666666667,0.6399404734221844
32,1,3,10,5,5,0.8435185185185186,0.10062999670827456,0.002162933349609375,1.0,0.0,1.0,0.0,1.0,0.0
8,2,2,10,2,5,0.7796296296296297,0.17831845691136364,0.0025490760803222657,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
16,2,3,1,5,5,0.8925925925925926,0.09279409291645739,0.0043141841888427734,1.0666666666666667,0.25819888974716115,2.1333333333333333,0.6399404734221844,2.2,0.6761234037828132
16,1,3,5,10,5,0.8425925925925927,0.12940503975931059,0.0022923151652018228,1.0,0.0,1.7333333333333334,0.5936168397046637,1.7333333333333334,0.5936168397046637
8,1,2,5,1,10,0.7657407407407407,0.1880955171564916,0.0015455722808837891,1.0,0.0,1.0,0.0,1.0,0.0
32,1,1,1,10,20,0.8462962962962963,0.12505142974914174,0.001248788833618164,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,10,5,10,0.7342592592592593,0.221530835841625,0.005015738805135091,1.0,0.0,1.0,0.0,1.0,0.0
8,4,4,5,1,5,0.7712962962962963,0.17645423319907683,0.008975823720296225,1.4,0.6324555320336759,1.0,0.0,1.4,0.6324555320336759
4,3,4,10,10,15,0.612037037037037,0.36044148332867293,0.013030529022216797,1.2666666666666666,0.45773770821706344,1.2,0.41403933560541256,1.4666666666666666,0.5163977794943222
16,1,2,2,2,10,0.862037037037037,0.11872089203573785,0.002570374806722005,1.0,0.0,1.0,0.0,1.0,0.0
8,1,4,1,2,5,0.875925925925926,0.09455914292587446,0.0030301411946614585,1.0,0.0,1.2,0.4140393356054126,1.2,0.4140393356054126
16,3,2,10,10,10,0.8703703703703703,0.1326647700448477,0.0037638346354166665,1.5333333333333334,0.6399404734221844,1.0666666666666667,0.25819888974716115,1.6,0.7367883976130073
4,2,2,2,5,20,0.7083333333333334,0.17755442318410394,0.0067782719930013025,1.4666666666666666,0.5163977794943222,1.3333333333333333,0.48795003647426666,1.8,0.7745966692414834
8,4,1,1,5,10,0.8203703703703703,0.13743952761391048,0.0019999186197916666,1.3333333333333333,0.6172133998483675,1.0,0.0,1.3333333333333333,0.6172133998483675
16,4,3,1,5,10,0.8351851851851853,0.14753510727185912,0.004670365651448568,1.2,0.41403933560541256,1.8666666666666667,0.7432233529572065,2.066666666666667,0.8837151016885368
4,3,3,10,5,15,0.5231481481481481,0.22613535483564517,0.008895349502563477,1.4,0.5070925528371101,1.0,0.0,1.4,0.5070925528371101
4,4,3,2,5,10,0.7314814814814814,0.17208989625399326,0.00685269037882487,1.1333333333333333,0.35186577527449836,1.0,0.0,1.1333333333333333,0.35186577527449836
