number_lines_per_partition,max_rule_set_size,max_size_each_rule,rules_size_weight,rules_accuracy_weight,number_quantiles_ordinal,cv_mean_accuracy,cv_std_accuracy,cv_mean_time,cv_mean_num_rules,cv_std_num_rules,cv_mean_larger_rule,cv_std_larger_rule,cv_mean_sum_literals,cv_std_sum_literals
32,4,3,10,10,15,0.8920634920634921,0.06354872754929598,0.007472006479899088,1.4666666666666666,0.7432233529572065,2.3333333333333335,0.4879500364742666,3.0,1.1952286093343936
8,1,1,10,2,15,0.673015873015873,0.1392593052080601,0.001355743408203125,1.0,0.0,1.0,0.0,1.0,0.0
8,1,1,5,5,10,0.6730158730158728,0.11220709869966454,0.0014980634053548176,1.0,0.0,1.0,0.0,1.0,0.0
4,3,4,5,10,5,0.7428571428571427,0.13201486109666793,0.005837742487589518,1.3333333333333333,0.48795003647426666,2.6,0.5070925528371101,3.1333333333333333,1.1872336794093272
16,1,1,2,5,20,0.6507936507936507,0.1147759703840704,0.004724391301472982,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,10,15,0.6825396825396824,0.10898516862311033,0.004308334986368815,1.2666666666666666,0.45773770821706344,1.0,0.0,1.2666666666666666,0.45773770821706344
4,3,2,5,10,15,0.6920634920634919,0.1886534098803857,0.006560023625691732,1.7333333333333334,0.8837151016885368,2.0,0.0,3.066666666666667,1.2798809468443688
32,2,4,5,2,15,0.8253968253968256,0.07123935633743768,0.024491548538208008,1.5333333333333334,0.5163977794943222,1.8666666666666667,0.35186577527449836,2.466666666666667,0.833809387832792
8,3,4,5,5,20,0.6984126984126985,0.15656114415247044,0.01988519032796224,1.6666666666666667,0.7237468644557459,2.0,0.6546536707079771,2.933333333333333,1.3345232785352157
8,3,3,1,5,10,0.8317460317460319,0.13086474082382354,0.005273946126302083,1.4,0.7367883976130074,2.466666666666667,0.5163977794943223,3.2666666666666666,1.2798809468443686
32,3,3,2,10,15,0.8730158730158731,0.11046133295980588,0.011322863896687825,1.6,0.6324555320336759,2.6666666666666665,0.4879500364742666,4.2,1.9346465162548798
16,1,4,5,2,20,0.7809523809523807,0.15144268962551702,0.012971973419189453,1.0,0.0,1.3333333333333333,0.48795003647426666,1.3333333333333333,0.48795003647426666
8,1,4,10,10,20,0.6984126984126984,0.14361101164234927,0.009669065475463867,1.0,0.0,1.9333333333333333,0.7037315505489967,1.9333333333333333,0.7037315505489967
16,2,1,5,2,5,0.6888888888888888,0.1031833242433119,0.0006897926330566406,1.1333333333333333,0.35186577527449836,1.0,0.0,1.1333333333333333,0.35186577527449836
8,2,2,10,1,10,0.580952380952381,0.17653028456053366,0.0036622365315755207,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
4,2,2,10,2,20,0.47301587301587295,0.1758561515200047,0.008580541610717774,1.6666666666666667,0.48795003647426666,1.0,0.0,1.6666666666666667,0.48795003647426666
32,4,1,1,2,20,0.6539682539682539,0.10096179308367802,0.011957168579101562,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
8,2,2,10,2,10,0.580952380952381,0.17653028456053366,0.0037523110707600913,1.4666666666666666,0.5163977794943222,1.0,0.0,1.4666666666666666,0.5163977794943222
8,2,3,2,5,20,0.8031746031746033,0.10928199668608576,0.009525696436564127,1.4,0.50709255283711,2.8,0.4140393356054125,3.8,1.52127765851133
4,1,2,5,2,15,0.5174603174603174,0.1771409065310886,0.004445044199625651,1.0,0.0,1.0,0.0,1.0,0.0
16,2,1,2,5,15,0.6634920634920634,0.10412090021494254,0.0055754661560058595,1.3333333333333333,0.48795003647426666,1.0,0.0,1.3333333333333333,0.48795003647426666
8,4,3,2,2,10,0.8190476190476191,0.12752153854292628,0.0058024088541666664,1.4666666666666666,0.5163977794943222,2.1333333333333333,0.5163977794943223,2.8666666666666667,1.0600988273786194
32,1,2,2,2,10,0.8825396825396826,0.12321503883126723,0.0018941243489583334,1.0,0.0,2.0,0.0,2.0,0.0
32,1,2,1,2,20,0.8984126984126984,0.08022212979633171,0.0030992507934570314,1.0,0.0,2.0,0.0,2.0,0.0
8,4,1,2,1,20,0.6666666666666666,0.14398646590827702,0.004183371861775716,1.3333333333333333,0.6172133998483675,1.0,0.0,1.3333333333333333,0.6172133998483675
8,1,4,2,5,15,0.8253968253968256,0.0856890867468988,0.007657257715861002,1.0,0.0,3.0,0.7559289460184544,3.0,0.7559289460184544
32,3,4,1,1,5,0.8952380952380954,0.0574819868687826,0.006389888127644857,1.8666666666666667,0.5163977794943223,2.533333333333333,0.5163977794943223,4.2,1.082325538564332
4,2,4,1,2,10,0.7841269841269841,0.12962114523270193,0.00946213404337565,1.4666666666666666,0.5163977794943222,2.6,0.5070925528371101,3.6666666666666665,1.4474937289114918
16,1,1,10,5,20,0.7079365079365078,0.10778968271707805,0.0025142510732014973,1.0,0.0,1.0,0.0,1.0,0.0
8,4,3,5,1,15,0.6222222222222221,0.1489262580685342,0.01191107432047526,1.5333333333333334,0.5163977794943222,1.0,0.0,1.5333333333333334,0.5163977794943222
8,1,4,5,5,20,0.6984126984126984,0.14361101164234927,0.009176095326741537,1.0,0.0,1.9333333333333333,0.7037315505489967,1.9333333333333333,0.7037315505489967
8,1,1,10,1,20,0.6634920634920635,0.13404410486647558,0.000747521718343099,1.0,0.0,1.0,0.0,1.0,0.0
8,1,2,10,2,20,0.6634920634920635,0.12912035335940453,0.004637654622395833,1.0,0.0,1.0,0.0,1.0,0.0
8,4,1,1,1,10,0.5873015873015872,0.09466950451314332,0.0030228773752848308,1.8,0.7745966692414834,1.0,0.0,1.8,0.7745966692414834
32,4,3,1,5,20,0.8761904761904763,0.09658905768325905,0.008844359715779623,1.6,0.6324555320336759,2.6,0.5070925528371101,4.066666666666666,1.98086080374405
32,4,2,5,2,20,0.888888888888889,0.06653696485769256,0.013427321116129558,1.3333333333333333,0.48795003647426666,1.9333333333333333,0.25819888974716115,2.3333333333333335,0.723746864455746
8,3,3,10,5,20,0.653968253968254,0.15321483851146028,0.014829301834106445,1.4,0.5070925528371101,1.0666666666666667,0.25819888974716115,1.4666666666666666,0.6399404734221846
4,4,4,10,2,10,0.6158730158730158,0.21255283202817177,0.010226265589396159,1.2666666666666666,0.4577377082170635,1.0,0.0,1.2666666666666666,0.4577377082170635
4,3,1,2,10,15,0.5809523809523809,0.13964645998681124,0.006355683008829753,1.6,0.6324555320336759,1.0,0.0,1.6,0.6324555320336759
8,4,2,2,5,5,0.7873015873015874,0.1357252253219118,0.0031386852264404298,1.5333333333333334,0.6399404734221844,1.9333333333333333,0.25819888974716115,3.0,1.3627702877384937
32,2,4,1,1,10,0.9111111111111112,0.05653493711472987,0.006363296508789062,1.6,0.5070925528371101,2.4,0.6324555320336759,3.3333333333333335,0.9759000729485332
32,1,2,5,2,10,0.8634920634920636,0.09153810521173855,0.0076779524485270185,1.0,0.0,1.9333333333333333,0.25819888974716115,1.9333333333333333,0.25819888974716115
32,3,3,5,2,20,0.8412698412698413,0.11756445711397477,0.02178680102030436,1.4666666666666666,0.5163977794943222,1.9333333333333333,0.25819888974716115,2.533333333333333,0.833809387832792
8,4,1,2,5,20,0.6190476190476191,0.10339240920796369,0.005702670415242513,1.1333333333333333,0.3518657752744984,1.0,0.0,1.1333333333333333,0.3518657752744984
4,1,1,5,2,15,0.5682539682539682,0.13879329395634327,0.001964728037516276,1.0,0.0,1.0,0.0,1.0,0.0
